,abstract,affiliation,authors,paper_type,subject,title
117,"Flat-Panel Loudspeakers are most effective at reproducing audio non-directionally when operating at frequencies with many overlapping modes. Frequency regions with low modal overlap produce directional acoustic radiation, long decay times, as well as sharp peaks and notches in pressure. Exciter arrays re-enable use of these frequency regions by restricting structural excitation to a single mode until the frequency region of high modal overlap. An optimization method is described here for determining the placement of exciters such that they are all driven by a single amplifier yet only excite a single structural mode. Experimental results are reported for an acrylic panel with 4, 8, and 11 exciters that demonstrate successful operation of the exciter arrangements.","['University of Rochester, Rochester, NY, USA']","['Anderson, David', ' Heilemann, Michael', ' Bocko, Mark F.']",Talk,Applications in Audio,"Optimal Exciter Array Placement for Flat-Panel Loudspeakers Based on a Single-Mode, Parallel-Drive Layout"
118,"Head-related transfer functions (HRTF) are used for creating the perception of a virtual sound source at an arbitrary azimuth-elevation. Publicly available databases use a subset of these directions due to physical constraints (viz., loudspeakers for generating the stimuli not being point-sources) and the time required to acquire and deconvolve responses for a large number of spatial directions. In this paper we present a subspace-based technique for reconstructing HRTFs at arbitrary directions for the IRCAM-Listen HRTF database, which comprises a set of HRTFs sampled every 15 deg along the azimuth direction. The presented technique includes first augmenting the sparse IRCAM dataset using the concept of auditory localization blur, then deriving a set of P=6 principal components, using PCA for the original and augmented HRTFs, and then training a neural network (ANN) with these directional principal components. The reconstruction of HRTF corresponding to an arbitrary direction is achieved by post-multiplying the ANN output, comprising the estimated six principal components, with a frequency weighting matrix. The advantage of using a subspace approach, involving only 6 principal components, is to obtain a low complexity HRTF synthesis ANN-based model as compared to training an ANN model to output an HRTF over all frequencies. Objective results demonstrate a reasonable interpolation with the presented approach.","['HP Labs., Inc., San Francisco, CA, USA', ' HP, Inc., Vancouver, WA, USA(See document for exact affiliation information.)']","['Bharitkar, Sunil G.', ' Mauer, Timothy', ' Wells, Teresa', ' Berfanger, David']",Talk,Spatial Audio,Subspace-Based HRTF Synthesis from Sparse Data: A Joint PCA and ML-Based Approach
119,"Due to the increasing use of microphones in many applications such as automotive or artificial intelligence, the demand for fast and reliable microphone test processes is growing. This paper covers various aspects of the design of an end-of-line microphone test system. A prevailing challenge is to properly control the sound source, as loudspeakers have a tendency to vary their performance due to many influences. The acoustic environment for the test must provide reproducible conditions and is ideally anechoic. Noise from outside must be damped across the measurement bandwidth, so that it doesn’t affect the results. Different testing requirements for various types of microphones are shown. Different methods for defining limit criteria are discussed.","['NTi Audio AG, Schaan, Liechtenstein', ' Beach Dynamics, Cincinnati, OH, USA', ' NTi Audio Inc., Tigard, OR, USA(See document for exact affiliation information.)']","['Schmidle, Gregor', ' Beach, Mark', ' MacMillan, Brian']",Talk,Transducers,Challenges and Best Practices for Microphone End-of-Line Testing
120,"In the first part of the paper we have noticed that the impact of audible nonlinear distortions on subjective listener preference is strongly dependent on the spectral structure of a test signal. In the second part we propose a method for considering the spectral characteristics of a test signal in the evaluation of the subjective perception of audible nonlinear distortions. To describe the tonal structure of a music signal, a qualitative characteristic, tonality, is taken as a metric, and tonality coefficient is proposed as a measure of this characteristic. Subjective listening tests were performed to estimate how the auditory perception of nonlinear distortions depends on the tonal structure of a signal and the spectral distribution of the noise-to-mask ratio (NMR)","['SPb Audio R&D', ' Lab, St. Petersburg, Russia']","['Pakhomov, Mikhail', ' Rozhnov, Victor']",Talk,Perception,Method for Quantitative Evaluation of Auditory Perception of Nonlinear Distortion: Part II — Metric for Music Signal Tonality and its Impact on Subjective Perception of Distortions
121,"Envelopment – the perception of being surrounded by a beautiful acoustic space – is one of the joys of concert halls and great recordings. Recording engineers strive to capture reverberation independently in each channel, and reverberation from digital equipment is similarly non-coherent. But in playback rooms with a single low frequency driver or a single subwoofer reverberation is often flat, frontal, and without motion. In this paper we will show that full range loudspeakers or at least two independent subwoofers can bring low frequency envelopment back to a playback room. In some rooms minimizing room modes with high pressure at the listening position while maximizing lateral modes with minima near the listeners can help. If necessary, we put two independent subwoofers at the sides of the listeners.","['David Griesinger Acoustics, Cambridge, MA, USA']","['Griesinger, David']",Talk,Perception,Reproducing Low Frequency Spaciousness and Envelopment in Listening Rooms
122,"Previous work has proposed a perceptually motivated model for the objective measurement of punch in a music recording. This paper presents a real-time implementation of the proposed model as a punch metering plug-in. The plug-in presents both momentary and historical punch metrics in the form of a P95 (95th percentile punch measure), Mean punch score, and P95M (95th percentile punch divided by the mean punch score). The meter’s outputs are compared to subjective punch scores derived through a controlled listening test and show a “strong” correlation with Pearson and Spearman coefficients r=0.840 (p<0.001) and rho=0.937 (p<0.001) respectively. The real-time measure of punch could prove useful in allowing objective control and optimization of this feature during mixing, mastering and broadcast.","['University of Huddersfield, Huddersfield, UK']","['Parker, Andrew', ' Fenton, Steven', ' Lee, Hyunkook']",Talk,Recording and Production,Real-Time System for the Measurement of Perceived Punch
123,"The reproduction of binaural audio through loudspeakers, also commonly referred to as Transaural audio, allows for the rendering of immersive virtual acoustic images when the original binaural signal is accurately delivered to the listener’s ears. Such accurate reproduction is generally achieved by using a network of cross-talk-cancellation filters designed for a given listener’s position and orientation. This work studies the effect of small rotational movements of the listener’s head on the perceived location of a virtual sound source when the binaural signal is reproduced using an array of loudspeakers. The results of numerical simulations presented in this paper describe how the perceived virtual source position is affected by the variation of the head orientation.","['University of Southampton, Southampton, UK']","['Simón, Marcos', ' Hamdan, Eric', ' Menzies, Dylan', ' Fazi, Filippo Maria']",Talk,Spatial Audio,A Study of the Effect of Head Rotation on Transaural Reproduction
124,"The double MS (DMS) setup provides a coincident recording configuration in the horizontal plane for surround sound recording, similar to Ambisonics B-format. DMS uses two cardioids and one dipole microphones, arranged coincidentally. An algorithm for processing DMS recordings is described, which in addition to linear processing provides a diffuse sound gain control and diffuse sound de-correlation. The target stereo or multichannel signals can be made more dry or reverberant with diffuse gain. Diffuse de-correlation improves spaciousness and its importance scales with the number of channels. The consequences of these new controls for the stereophonic image will be depicted.","['Illusonic GmbH, Uster, Switzerland', ' SCHOEPS GmbH, Karlsruhe, Germany(See document for exact affiliation information.)']","['Favrot, Alexis', ' Faller, Christof', ' Wittek, Helmut']",Talk,Recording and Production,Double-MS Decoding with Diffuse Sound Control
125,"SoundFields is an interactive mixed reality experience developed for children with Autism Spectrum Disorders (ASD). The project aims to provide a technical intervention framework that has the potential to promote the improvement of joint attention, social interaction, and cognitive development through full-body interaction with virtual spatitalized auditory events. The SoundFields system is based in a 360-degree visual environment in which players can move freely around without the need for head mounted displays. By means of optical motion tracking, 3rd order ambisonic audio is transmitted wirelessly to headphones, reacting to head rotation and their position within the physical space.","['University of York, York, UK']","['Johnston, Daniel', ' Egermann, Hauke', ' Kearney, Gavin']",Poster,Spatial Audio,SoundFields: A Mixed Reality Spatial Audio Game for Children with Autism Spectrum Disorder
126,"To evoke a place illusion, virtual reality builds upon the integration of coherent sensory information from multiple modalities. This integrative view of perception could be contradicted when quality evaluation of virtual reality is divided into multiple uni-modal tests. We show the type and cross-modal consistency of visual content to affect overall audio quality in a six-degrees-of-freedom virtual environment with expert and naïve participants. The effect is observed both in their movement patterns and direct quality scores given to three real-time binaural audio rendering technologies. Our experiments show that the visual content has a statistically signi?cant effect on the perceived audio quality.","['International Audio Laboratories Erlangen, Erlangen, Germany', ' Beijing Institute of Technology, Beijing, China(See document for exact affiliation information.)']","['Rummukainen, Olli', ' Wang, Jing', ' Li, Zhitong', ' Robotham, Thomas', ' Yan, Zhaoyu', ' Li, Zhuoran', ' Xie, Xiang', ' Nagel, Frederik', ' Habets, Emanuël A. P.']",Talk,Spatial Audio,Influence of Visual Content on the Perceived Audio Quality in Virtual Reality
127,"Performance venue acoustics differ significantly due to audience size, largely from the change in absorption and reflection pathways. Creating acoustic models that accurately mimic these changes is problematic, showing significant variance between audience implementation methods and modelling techniques. Changes in total absorption per person due to audience size and density makes absorption coefficients selection difficult. In this research, FDTD simulations confirm that for densely packed audiences, diffraction leads to a linear correlation between capacity and total absorption at low frequencies, while at high frequencies there is less increase in total absorption per person. The significance of diffraction renders ray-tracing inaccurate for individually modelled audience members and has further implications regarding accuracy of standard audience modelling procedures.","['University of Derby, Derby, Derbyshire, UK', ' Peter Mapp Associates, Colchester, UK(See document for exact affiliation information.)']","['Hammond, Ross', ' Hill, Adam J.', ' Mapp, Peter']",Talk,Acoustics and Signal Processing,On the Accuracy of Audience Implementations in Acoustic Computer Modelling
128,This study aims to evaluate the addition of virtual sound sources to a 9.1 loudspeaker configuration in terms of spatial attributes such as envelopment and sound image width. It is the second part of a previous study where different upmixing algorithms to convert stereo to a 9.1 mix were examined. Four virtual sound sources (VSS) are added to a 9.1 configuration to simulate virtual loudspeakers in the height layer with the help of Vector-Based Amplitude Panning (VBAP). A subjective test is conducted to determine whether listeners perceive an improvement due to the addition of VSS channels in the height layer.,"['New York University, New York, NY, USA']","['Kim, Sungsoo', ' Sridhar, Sripathi']",Talk,Perception,Evaluation of Additional Virtual Sound Sources in a 9.1 Loudspeaker Configuration
129,"Standard ABR devices use clicks and tone bursts to assess subjects’ hearing in an objective way. A new device was developed that extends the functionality of a standard ABR audiometer by collecting and analyzing auditory brainstem responses (ABR). The developed accessory allows for the use of complex sounds (e.g., speech or music excerpts) as stimuli. Therefore, it is possible to find out how efficiently different types of sounds are processed in the hearing system including brain. The paper contains technical details related to the design of the device, including its hardware and software parts. The test results that have been carried out to verify the operation of the device are also described.","['Gdansk University of Technology, Gdansk, Poland']","['Odya, Piotr', ' Czyzewski, Andrzej', ' Sroczynski, Andrzej', ' Kostek, Bozena']",Poster,Applications in Audio,A Device for Measuring Auditory Brainstem Responses to Audio
130,With the usage of future 4G+/5G technologies in wireless equipment for “Programme Making and Special Events” (PMSE) new innovative live services and applications are possible. In this paper our novel “Assistive Live Listening Service” is presented. The service provides individualized additional augmented audio content to every single listener at a concert or voice-based live event by using an augmented reality audio headset that is able to provide both environmental sounds and supplemental audio content. A listening experiment was performed under realistic live conditions to investigate if the service enhances speech intelligibility without a loss of perceptual live experience. The results show that a perceptual enhancement is possible. Further steps to improve the service are discussed.,"['Leibniz Universität Hannover, Hannover, Germany']","['Hupke, Robert', ' Nophut, Marcel', ' Preihs, Stephan', ' Peissig, Jürgen']",Talk,Acoustics and Live Sound,Perceptual Evaluation of an Augmented Audience Service under Realistic Live Conditions
131,"Big and well-tagged databases are needed for many tasks in music information retrieval. Therefore we created the single note database (SNDB) containing over 30,000 single notes of 11 orchestra instruments by extracting and combining material of well-established databases. The ground truth was manually checked, corrected, and augmented. The result is a large and easy to handle database providing a reliable ground truth with a high variety for each class. Because of well-known original databases, new scientific results can be easily compared to earlier approaches. Here we show the benefit of the SNDB in a simple example. Moreover, we depict how the SNDB was created in the first place and how it can be conveniently reproduced from the original databases.","['International Audio Laboratories Erlangen, Erlangen, Germany']","['Feichtner, Esther Fee', ' Edler, Bernd']",Talk,Applications in Audio,Description of the Single Note Database SNDB
132,"A unified algorithm to derive downmixing coefficients from a specific multichannel format to arbitrary reproduction formats with a smaller number of channels was investigated. The proposed method attaches importance to maintaining both basic audio quality and spatial impression. It involves appropriately changing the positions of channels in source formats, or locating the channels in source formats at equal intervals between the two channels in destination formats when phantom sources are used. Owing to this feature, this method can minimize the use of phantom sources and avoid the deterioration of spatial impression. A subjective evaluation was carried out and the obtained results implied that the proposed algorithm satisfies our requirements.","['NHK Science and Technology Research Laboratories, Setagaya-ku, Tokyo, Japan']","['Kubo, Hiroki', ' Oode, Satoshi', ' Sugimoto, Takehiro', ' Kitajima, Shu', ' Ito, Atsuro', ' Komori, Tomoyasu', ' Ono, Kazuho']",Talk,Recording and Production,Algorithm to Determine Downmixing Coefficients from Specific Multichannel Format to Reproduction Format with a Smaller Number of Channels
133,"This paper considers the opportunities and challenges of acoustic multilateration in gunshot forensics cases. Audio forensic investigations involving gunshot sounds may consist of multiple simultaneous but unsynchronized recordings obtained in the vicinity of the shooting incident. The multiple recordings may provide information useful to the forensic investigation, such as the location and orientation of the firearm, and if multiple guns were present, addressing the common question “who shot first?” Sound source localization from multiple recordings typically employs time difference of arrival (TDOA) estimation and related principles known as multilateration. In theory, multilateration can provide a good estimate of the sound source location, but in practice acoustic echoes, refraction, diffraction, reverberation, noise, and spatial/temporal uncertainty can be confounding.","['Montana State University, Bozeman, MT, USA']","['Maher, Robert C.', ' Hoerr, Ethan']",Talk,Semantic Audio,Audio Forensic Gunshot Analysis and Multilateration
134,"Eventide Inc. and Politecnico di Milano are collaborating to present a versatile high-performance Network Based Modular Microphone Array System (MMAS). One advantage of the system is the ability to quickly build various linear and planar array geometries with up to 64 microphone elements (sensors) connected to a single workstation, with the option to expand up to 512 sensors by synchronizing multiple sub-systems. The system modules (eStick) consist of a 48cm linear array made of 16 MEMS microphones with an integrated Audinate Dante Power-over-Ethernet (PoE) interface. The system is intended to support a wide range of industrial and research applications, ranging from advanced sound scene analysis and manipulation to source separation, extraction, and tracking.","['Politecnico di Milano, Milan, Italy', ' Eventide, Little Ferry, NJ, USA(See document for exact affiliation information.)']","['Pezzoli, Mirco', ' Comanducci, Luca', ' Waltz, Joe', ' Agnello, Anthony', ' Bondi, Luca', ' Canclini, Antonio', ' Sarti, Augusto']",Talk,Transducers,A Dante Powered Modular Microphone Array System
135,"The purpose of this study is to involve both Convolutional Neural Networks and a typical learning algorithm in the allophone classification process. A list of words including aspirated and non-aspirated allophones pronounced by native and non-native English speakers is recorded and then edited and analyzed. Allophones extracted from English speakers’ recordings are presented in the form of two-dimensional spectrogram images and used as input to train the Convolutional Neural Networks. Various settings of the spectral representation are analyzed to determine adequate option for the allophone classification. Then, testing is performed on the basis of non-native speakers’ utterances. The same approach is repeated employing learning algorithm but based on feature vectors. The archived classification results are promising as high accuracy is observed.","['Vilnius University, Vilnius, Lithuania', ' Gdansk University of Technology, Gdansk, Poland(See document for exact affiliation information.)']","['Piotrowska, Magdalena', ' Korvel, Grazina', ' Kurowski, Adam', ' Kostek, Bozena', ' Czyzewski, Andrzej']",Talk,Acoustics and Signal Processing,"Machine Learning Applied to Aspirated and Non-Aspirated Allophone Classification—An Approach Based on Audio ""Fingerprinting"""
136,"Auditory immersion and spatial impression in multichannel audio reproduction can be altered by changing the number of loudspeakers and independent reverberation channels. The spatial impression can change drastically as one moves away from the sweet-spot. Since multichannel audio reproduction is not limited to one position, it is critical to investigate Listener Envelopment (LEV) and immersion at off-axis positions. This work discusses the impression of spatially distributed decorrelated reverberation at on- and off-axis positions. Laboratory environment is used to reproduce a diffused sound field in the horizontal plane through 128 independent audio channels and loudspeakers. Results from psychoacoustical experiments show that there are perceptible differences even at higher channel counts. However, spatial impression does not change significantly beyond 16 channels of decorrelated reverberation and equally spaced loudspeakers at on- and off-axis positions.","['Rensselear Polytechnic Institute, Troy, NY, USA']","['Agrawal, Sarvesh', ' Braasch, Jonas']",Talk,Spatial Audio,Impression of Spatially Distributed Reverberation in Multichannel Audio Reproduction
137,In the course of the project PMSE-xG an audience service for live events – the Assistive Live Listening Service – was developed. The service uses supplementary augmented audio content presented through transparent headphones to enhance the traditional audio playback of a PA loudspeaker system. Augmented audio content and ambient sound are temporally aligned by the service. This paper proposes signal processing techniques to improve existing methods for estimating the propagation delay of acoustic signals in strongly reverberant environments. These refined methods aim to reduce the computational costs and allow the service to keep track of moving listeners. The proposed methods are evaluated based on realistic recordings of music and speech samples.,"['Leibniz Universität Hannover, Hannover, Germany']","['Nophut, Marcel', ' Hupke, Robert', ' Preihs, Stephan', ' Peissig, Jürgen']",Talk,Acoustics and Live Sound,Advancements in Propagation Delay Estimation of Acoustic Signals in an Audience Service for Live Events
138,"Wavefield-synthesis systems were the first to apply large horizontal arrays for sound reproduction and live sound. While there has been some success for experimental music or sound art, results for music and live sound are limited. The reasons for this are array sound quality, insufficient sound pressure level, spatial aliasing, and interference and inflexible array control algorithm. Nevertheless, the application of high resolution horizontal arrays with appropriate array control systems produces exceptional sound quality, extensive flexibility to adjust to acoustic conditions, and remarkable control over sound distribution. Advanced systems can overcome many shortcomings in traditional sound systems. This paper describes the concepts and technology of high performance HRH-arrays and their utilization for church sound through examples of application in Korean churches.","['State University of New York Korea, Shinan ICT, Incheon, Korea', ' Shinan Information & Communication Co., Ltd., Gyeonggi-do, Korea(See document for exact affiliation information.)']","['Bradter, Cornelius', ' Ju, Kichel']",Talk,Acoustics and Signal Processing,High Resolution Horizontal Arrays for Sound Stages and Room Acoustics: Concepts and Benefits
139,"We have been studying a design method for a controller for binaural reproduction with loudspeakers. The gain of the controller amplifies errors due to external disturbances and system perturbations, and this leads to deterioration of the sound quality. Therefore, the gain should be suppressed to as low as possible. For this purpose, we formulate the design of the controller as a minimization problem of the gain, in which the H8 norm of the controller is adopted as a measure of the gain. In this article we also introduce a binaural reproduction system as an implementation example. This system virtually reproduces multichannel audio such as 22.2 multichannel audio using line array loudspeakers.","['NHK Science & Technology Research Laboratories, Tokyo, JapanSharp Corporation, Japan', ' Keio University, Yokohama-shi, Kanagawa, Japan(See document for exact affiliation information.)']","['Ito, Atsuro', ' Matsui, Kentaro', ' Ono, Kazuho', ' Hattori, Hisao', ' Suenaga, Takeaki', ' Iwauchi, Kenichi', ' Adachi, Shuichi']",Talk,Spatial Audio,Design and Implementation of a Binaural Reproduction Controller Applying Output Tracking Control
140,"Dynamic range compressors (DRC) are one of the most commonly used audio effect in music production. The timing settings are particularly important for controlling the manner in which they will shape an audio signal. We present a subjective user study of DRC, where a series of different compressor attack and release setting are varied and applied to a set of 30 sec audio tracks. Participants are then asked to rate which ballistic settings are most appropriate for the style of music in their judgment and asked to select one of a series of tag words to describe the style or setting of the song. Results show that the attack parameter influences perceived style more than the release parameter. From the study this is seen more evidently in the case of Jazz and Rock styles than in EDM or Hip-Hop. The area of intelligent music production systems might benefit from this study in the future as it may help to inform appropriateness for certain DRC settings in varying styles.","['Queen Mary University of London, London, UK']","['Bromham, Gary', ' Moffat, Dave', ' Barthet, Mathieu', ' Fazekas, György']",Talk,Recording and Production,The Impact of Compressor Ballistics on the Perceived Style of Music
141,"To determine the preferred audio characteristics for media playback over smartphones, a series of controlled double-blind listening experiments were run to evaluate the subjective playback quality of six high-end smartphones. Listeners rated products based on their audio quality preference and left comments categorized by attribute. The devices were tested in different orientations in level-matched and maximum-volume scenarios. Positional variation and biases were accounted for using a motorized turntable and audio playback was controlled remotely with remote-access software. Test results were compared to spatially-averaged measurements made using a multitone stimulus and demonstrate that the smoothness of the frequency response is the most important aspect in smartphone preference. Low frequency extension, decreased levels of nonlinear distortion, and higher maximum playback level did not correlate with higher phone ratings.","['Samsung Research America, Valencia, CA USA']","['McMullin, Elisabeth', ' Suha, Victoria', ' Li, Yuan', ' Saba, Will', ' Brunet, Pascal']",Talk,Perception,Developing a Method for the Subjective Evaluation of Smartphone Music Playback
